Product,Availability,Date,Value
Total,None,29 Oct 2021 - 1 Nov 2021,2.18%
Total,Low,29 Oct 2021 - 1 Nov 2021,8.33%
Total,Medium,29 Oct 2021 - 1 Nov 2021,35.44%
Total,High,29 Oct 2021 - 1 Nov 2021,54.05%
Beer,None,29 Oct 2021 - 1 Nov 2021,0.78%
Beer,Low,29 Oct 2021 - 1 Nov 2021,0.78%
Beer,Medium,29 Oct 2021 - 1 Nov 2021,25.97%
Beer,High,29 Oct 2021 - 1 Nov 2021,72.48%
Bread,None,29 Oct 2021 - 1 Nov 2021,0.77%
Bread,Low,29 Oct 2021 - 1 Nov 2021,6.15%
Bread,Medium,29 Oct 2021 - 1 Nov 2021,46.92%
Bread,High,29 Oct 2021 - 1 Nov 2021,46.15%
Chocolate selection boxes,None,29 Oct 2021 - 1 Nov 2021,8.64%
Chocolate selection boxes,Low,29 Oct 2021 - 1 Nov 2021,8.23%
Chocolate selection boxes,Medium,29 Oct 2021 - 1 Nov 2021,21.40%
Chocolate selection boxes,High,29 Oct 2021 - 1 Nov 2021,61.73%
Crisps (multipack),None,29 Oct 2021 - 1 Nov 2021,0.00%
Crisps (multipack),Low,29 Oct 2021 - 1 Nov 2021,0.00%
Crisps (multipack),Medium,29 Oct 2021 - 1 Nov 2021,0.00%
Crisps (multipack),High,29 Oct 2021 - 1 Nov 2021,0.00%
Dried pasta,None,29 Oct 2021 - 1 Nov 2021,1.54%
Dried pasta,Low,29 Oct 2021 - 1 Nov 2021,11.15%
Dried pasta,Medium,29 Oct 2021 - 1 Nov 2021,43.46%
Dried pasta,High,29 Oct 2021 - 1 Nov 2021,43.85%
Fresh chicken,None,29 Oct 2021 - 1 Nov 2021,1.16%
Fresh chicken,Low,29 Oct 2021 - 1 Nov 2021,4.63%
Fresh chicken,Medium,29 Oct 2021 - 1 Nov 2021,30.89%
Fresh chicken,High,29 Oct 2021 - 1 Nov 2021,63.32%
Fresh fish,None,29 Oct 2021 - 1 Nov 2021,1.63%
Fresh fish,Low,29 Oct 2021 - 1 Nov 2021,8.54%
Fresh fish,Medium,29 Oct 2021 - 1 Nov 2021,36.18%
Fresh fish,High,29 Oct 2021 - 1 Nov 2021,53.66%
Fresh fruit,None,29 Oct 2021 - 1 Nov 2021,0.39%
Fresh fruit,Low,29 Oct 2021 - 1 Nov 2021,5.02%
Fresh fruit,Medium,29 Oct 2021 - 1 Nov 2021,42.08%
Fresh fruit,High,29 Oct 2021 - 1 Nov 2021,52.51%
Fresh pork,None,29 Oct 2021 - 1 Nov 2021,2.72%
Fresh pork,Low,29 Oct 2021 - 1 Nov 2021,12.06%
Fresh pork,Medium,29 Oct 2021 - 1 Nov 2021,37.35%
Fresh pork,High,29 Oct 2021 - 1 Nov 2021,47.86%
Fresh vegetables,None,29 Oct 2021 - 1 Nov 2021,0.39%
Fresh vegetables,Low,29 Oct 2021 - 1 Nov 2021,5.41%
Fresh vegetables,Medium,29 Oct 2021 - 1 Nov 2021,34.75%
Fresh vegetables,High,29 Oct 2021 - 1 Nov 2021,59.46%
Frozen chips,None,29 Oct 2021 - 1 Nov 2021,1.16%
Frozen chips,Low,29 Oct 2021 - 1 Nov 2021,9.27%
Frozen chips,Medium,29 Oct 2021 - 1 Nov 2021,33.20%
Frozen chips,High,29 Oct 2021 - 1 Nov 2021,56.37%
Frozen fish,None,29 Oct 2021 - 1 Nov 2021,1.16%
Frozen fish,Low,29 Oct 2021 - 1 Nov 2021,5.81%
Frozen fish,Medium,29 Oct 2021 - 1 Nov 2021,29.84%
Frozen fish,High,29 Oct 2021 - 1 Nov 2021,63.18%
Frozen turkey,None,29 Oct 2021 - 1 Nov 2021,11.58%
Frozen turkey,Low,29 Oct 2021 - 1 Nov 2021,10.00%
Frozen turkey,Medium,29 Oct 2021 - 1 Nov 2021,32.11%
Frozen turkey,High,29 Oct 2021 - 1 Nov 2021,46.32%
Frozen vegetables,None,29 Oct 2021 - 1 Nov 2021,1.93%
Frozen vegetables,Low,29 Oct 2021 - 1 Nov 2021,9.27%
Frozen vegetables,Medium,29 Oct 2021 - 1 Nov 2021,39.00%
Frozen vegetables,High,29 Oct 2021 - 1 Nov 2021,49.81%
Ibuprofen,None,29 Oct 2021 - 1 Nov 2021,2.70%
Ibuprofen,Low,29 Oct 2021 - 1 Nov 2021,8.11%
Ibuprofen,Medium,29 Oct 2021 - 1 Nov 2021,36.68%
Ibuprofen,High,29 Oct 2021 - 1 Nov 2021,52.51%
Milk,None,29 Oct 2021 - 1 Nov 2021,0.77%
Milk,Low,29 Oct 2021 - 1 Nov 2021,4.62%
Milk,Medium,29 Oct 2021 - 1 Nov 2021,51.54%
Milk,High,29 Oct 2021 - 1 Nov 2021,43.08%
Paracetamol,None,29 Oct 2021 - 1 Nov 2021,3.09%
Paracetamol,Low,29 Oct 2021 - 1 Nov 2021,11.58%
Paracetamol,Medium,29 Oct 2021 - 1 Nov 2021,32.43%
Paracetamol,High,29 Oct 2021 - 1 Nov 2021,52.90%
Potatoes,None,29 Oct 2021 - 1 Nov 2021,0.77%
Potatoes,Low,29 Oct 2021 - 1 Nov 2021,8.11%
Potatoes,Medium,29 Oct 2021 - 1 Nov 2021,27.80%
Potatoes,High,29 Oct 2021 - 1 Nov 2021,63.32%
Soap,None,29 Oct 2021 - 1 Nov 2021,0.77%
Soap,Low,29 Oct 2021 - 1 Nov 2021,7.31%
Soap,Medium,29 Oct 2021 - 1 Nov 2021,37.31%
Soap,High,29 Oct 2021 - 1 Nov 2021,54.62%
Sparkling water,None,29 Oct 2021 - 1 Nov 2021,3.85%
Sparkling water,Low,29 Oct 2021 - 1 Nov 2021,19.62%
Sparkling water,Medium,29 Oct 2021 - 1 Nov 2021,33.46%
Sparkling water,High,29 Oct 2021 - 1 Nov 2021,43.08%
Toilet rolls,None,29 Oct 2021 - 1 Nov 2021,1.15%
Toilet rolls,Low,29 Oct 2021 - 1 Nov 2021,7.69%
Toilet rolls,Medium,29 Oct 2021 - 1 Nov 2021,34.62%
Toilet rolls,High,29 Oct 2021 - 1 Nov 2021,56.54%
Toothpaste,None,29 Oct 2021 - 1 Nov 2021,0.38%
Toothpaste,Low,29 Oct 2021 - 1 Nov 2021,5.77%
