Product,Availability,Date,Value
Toothpaste,Medium,29 Oct 2021 - 1 Nov 2021,37.69%
Toothpaste,High,29 Oct 2021 - 1 Nov 2021,56.15%
Washing up liquid,None,29 Oct 2021 - 1 Nov 2021,3.46%
Washing up liquid,Low,29 Oct 2021 - 1 Nov 2021,14.62%
Washing up liquid,Medium,29 Oct 2021 - 1 Nov 2021,33.08%
Washing up liquid,High,29 Oct 2021 - 1 Nov 2021,48.85%
Total,None,5 Nov 2021 - 8 Nov 2021,2.12%
Total,Low,5 Nov 2021 - 8 Nov 2021,7.37%
Total,Medium,5 Nov 2021 - 8 Nov 2021,38.27%
Total,High,5 Nov 2021 - 8 Nov 2021,52.24%
Beer,None,5 Nov 2021 - 8 Nov 2021,0.38%
Beer,Low,5 Nov 2021 - 8 Nov 2021,1.14%
Beer,Medium,5 Nov 2021 - 8 Nov 2021,30.42%
Beer,High,5 Nov 2021 - 8 Nov 2021,68.06%
Bread,None,5 Nov 2021 - 8 Nov 2021,1.13%
Bread,Low,5 Nov 2021 - 8 Nov 2021,7.52%
Bread,Medium,5 Nov 2021 - 8 Nov 2021,42.48%
Bread,High,5 Nov 2021 - 8 Nov 2021,48.87%
Chocolate selection boxes,None,5 Nov 2021 - 8 Nov 2021,5.79%
Chocolate selection boxes,Low,5 Nov 2021 - 8 Nov 2021,6.18%
Chocolate selection boxes,Medium,5 Nov 2021 - 8 Nov 2021,22.39%
Chocolate selection boxes,High,5 Nov 2021 - 8 Nov 2021,65.64%
Crisps (multipack),None,5 Nov 2021 - 8 Nov 2021,0.00%
Crisps (multipack),Low,5 Nov 2021 - 8 Nov 2021,0.00%
Crisps (multipack),Medium,5 Nov 2021 - 8 Nov 2021,0.00%
Crisps (multipack),High,5 Nov 2021 - 8 Nov 2021,0.00%
Dried pasta,None,5 Nov 2021 - 8 Nov 2021,0.38%
Dried pasta,Low,5 Nov 2021 - 8 Nov 2021,10.15%
Dried pasta,Medium,5 Nov 2021 - 8 Nov 2021,46.24%
Dried pasta,High,5 Nov 2021 - 8 Nov 2021,43.23%
Fresh chicken,None,5 Nov 2021 - 8 Nov 2021,1.13%
Fresh chicken,Low,5 Nov 2021 - 8 Nov 2021,5.64%
Fresh chicken,Medium,5 Nov 2021 - 8 Nov 2021,30.45%
Fresh chicken,High,5 Nov 2021 - 8 Nov 2021,62.78%
Fresh fish,None,5 Nov 2021 - 8 Nov 2021,1.19%
Fresh fish,Low,5 Nov 2021 - 8 Nov 2021,8.30%
Fresh fish,Medium,5 Nov 2021 - 8 Nov 2021,44.27%
Fresh fish,High,5 Nov 2021 - 8 Nov 2021,46.25%
Fresh fruit,None,5 Nov 2021 - 8 Nov 2021,1.13%
Fresh fruit,Low,5 Nov 2021 - 8 Nov 2021,8.27%
Fresh fruit,Medium,5 Nov 2021 - 8 Nov 2021,43.23%
Fresh fruit,High,5 Nov 2021 - 8 Nov 2021,47.37%
Fresh pork,None,5 Nov 2021 - 8 Nov 2021,2.63%
Fresh pork,Low,5 Nov 2021 - 8 Nov 2021,10.90%
Fresh pork,Medium,5 Nov 2021 - 8 Nov 2021,42.86%
Fresh pork,High,5 Nov 2021 - 8 Nov 2021,43.61%
Fresh vegetables,None,5 Nov 2021 - 8 Nov 2021,0.75%
Fresh vegetables,Low,5 Nov 2021 - 8 Nov 2021,4.53%
Fresh vegetables,Medium,5 Nov 2021 - 8 Nov 2021,43.40%
Fresh vegetables,High,5 Nov 2021 - 8 Nov 2021,51.32%
Frozen chips,None,5 Nov 2021 - 8 Nov 2021,1.89%
Frozen chips,Low,5 Nov 2021 - 8 Nov 2021,7.17%
Frozen chips,Medium,5 Nov 2021 - 8 Nov 2021,35.47%
Frozen chips,High,5 Nov 2021 - 8 Nov 2021,55.47%
Frozen fish,None,5 Nov 2021 - 8 Nov 2021,0.76%
Frozen fish,Low,5 Nov 2021 - 8 Nov 2021,6.49%
Frozen fish,Medium,5 Nov 2021 - 8 Nov 2021,35.88%
Frozen fish,High,5 Nov 2021 - 8 Nov 2021,56.87%
Frozen turkey,None,5 Nov 2021 - 8 Nov 2021,11.54%
Frozen turkey,Low,5 Nov 2021 - 8 Nov 2021,6.25%
Frozen turkey,Medium,5 Nov 2021 - 8 Nov 2021,32.21%
Frozen turkey,High,5 Nov 2021 - 8 Nov 2021,50.00%
Frozen vegetables,None,5 Nov 2021 - 8 Nov 2021,0.75%
Frozen vegetables,Low,5 Nov 2021 - 8 Nov 2021,6.04%
Frozen vegetables,Medium,5 Nov 2021 - 8 Nov 2021,41.13%
Frozen vegetables,High,5 Nov 2021 - 8 Nov 2021,52.08%
Ibuprofen,None,5 Nov 2021 - 8 Nov 2021,4.87%
Ibuprofen,Low,5 Nov 2021 - 8 Nov 2021,10.86%
Ibuprofen,Medium,5 Nov 2021 - 8 Nov 2021,35.96%
Ibuprofen,High,5 Nov 2021 - 8 Nov 2021,48.31%
Milk,None,5 Nov 2021 - 8 Nov 2021,1.13%
Milk,Low,5 Nov 2021 - 8 Nov 2021,10.15%
Milk,Medium,5 Nov 2021 - 8 Nov 2021,49.62%
Milk,High,5 Nov 2021 - 8 Nov 2021,39.10%
Paracetamol,None,5 Nov 2021 - 8 Nov 2021,3.76%
Paracetamol,Low,5 Nov 2021 - 8 Nov 2021,10.90%
Paracetamol,Medium,5 Nov 2021 - 8 Nov 2021,39.10%
Paracetamol,High,5 Nov 2021 - 8 Nov 2021,46.24%
Potatoes,None,5 Nov 2021 - 8 Nov 2021,1.13%
Potatoes,Low,5 Nov 2021 - 8 Nov 2021,6.04%
Potatoes,Medium,5 Nov 2021 - 8 Nov 2021,31.70%
Potatoes,High,5 Nov 2021 - 8 Nov 2021,61.13%
Soap,None,5 Nov 2021 - 8 Nov 2021,0.75%
Soap,Low,5 Nov 2021 - 8 Nov 2021,5.26%
Soap,Medium,5 Nov 2021 - 8 Nov 2021,42.48%
Soap,High,5 Nov 2021 - 8 Nov 2021,51.50%
Sparkling water,None,5 Nov 2021 - 8 Nov 2021,2.63%
Sparkling water,Low,5 Nov 2021 - 8 Nov 2021,14.29%
Sparkling water,Medium,5 Nov 2021 - 8 Nov 2021,34.96%
Sparkling water,High,5 Nov 2021 - 8 Nov 2021,48.12%
Toilet rolls,None,5 Nov 2021 - 8 Nov 2021,0.75%
Toilet rolls,Low,5 Nov 2021 - 8 Nov 2021,5.26%
Toilet rolls,Medium,5 Nov 2021 - 8 Nov 2021,38.72%
Toilet rolls,High,5 Nov 2021 - 8 Nov 2021,55.26%
Toothpaste,None,5 Nov 2021 - 8 Nov 2021,0.75%
Toothpaste,Low,5 Nov 2021 - 8 Nov 2021,3.38%
Toothpaste,Medium,5 Nov 2021 - 8 Nov 2021,40.23%
Toothpaste,High,5 Nov 2021 - 8 Nov 2021,55.64%
Washing up liquid,None,5 Nov 2021 - 8 Nov 2021,3.38%
Washing up liquid,Low,5 Nov 2021 - 8 Nov 2021,7.14%
Washing up liquid,Medium,5 Nov 2021 - 8 Nov 2021,37.22%
Washing up liquid,High,5 Nov 2021 - 8 Nov 2021,52.26%
Total,None,12 Nov 2021 - 15 Nov 2021,1.95%
Total,Low,12 Nov 2021 - 15 Nov 2021,7.78%
Total,Medium,12 Nov 2021 - 15 Nov 2021,36.22%
Total,High,12 Nov 2021 - 15 Nov 2021,54.05%
Beer,None,12 Nov 2021 - 15 Nov 2021,0.40%
Beer,Low,12 Nov 2021 - 15 Nov 2021,0.40%
Beer,Medium,12 Nov 2021 - 15 Nov 2021,28.69%
Beer,High,12 Nov 2021 - 15 Nov 2021,70.52%
Bread,None,12 Nov 2021 - 15 Nov 2021,0.39%
Bread,Low,12 Nov 2021 - 15 Nov 2021,3.94%
Bread,Medium,12 Nov 2021 - 15 Nov 2021,42.91%
Bread,High,12 Nov 2021 - 15 Nov 2021,52.76%
Chocolate selection boxes,None,12 Nov 2021 - 15 Nov 2021,2.89%
Chocolate selection boxes,Low,12 Nov 2021 - 15 Nov 2021,4.96%
Chocolate selection boxes,Medium,12 Nov 2021 - 15 Nov 2021,25.62%
Chocolate selection boxes,High,12 Nov 2021 - 15 Nov 2021,66.53%
Crisps (multipack),None,12 Nov 2021 - 15 Nov 2021,3.59%
Crisps (multipack),Low,12 Nov 2021 - 15 Nov 2021,25.90%
Crisps (multipack),Medium,12 Nov 2021 - 15 Nov 2021,39.44%
Crisps (multipack),High,12 Nov 2021 - 15 Nov 2021,31.08%
Dried pasta,None,12 Nov 2021 - 15 Nov 2021,0.79%
Dried pasta,Low,12 Nov 2021 - 15 Nov 2021,9.84%
Dried pasta,Medium,12 Nov 2021 - 15 Nov 2021,44.88%
Dried pasta,High,12 Nov 2021 - 15 Nov 2021,44.49%
Fresh chicken,None,12 Nov 2021 - 15 Nov 2021,1.57%
Fresh chicken,Low,12 Nov 2021 - 15 Nov 2021,5.91%
Fresh chicken,Medium,12 Nov 2021 - 15 Nov 2021,34.25%
Fresh chicken,High,12 Nov 2021 - 15 Nov 2021,58.27%
Fresh fish,None,12 Nov 2021 - 15 Nov 2021,0.42%
Fresh fish,Low,12 Nov 2021 - 15 Nov 2021,6.67%
Fresh fish,Medium,12 Nov 2021 - 15 Nov 2021,47.50%
Fresh fish,High,12 Nov 2021 - 15 Nov 2021,45.42%
Fresh fruit,None,12 Nov 2021 - 15 Nov 2021,0.79%
Fresh fruit,Low,12 Nov 2021 - 15 Nov 2021,7.48%
Fresh fruit,Medium,12 Nov 2021 - 15 Nov 2021,40.55%
Fresh fruit,High,12 Nov 2021 - 15 Nov 2021,51.18%
Fresh pork,None,12 Nov 2021 - 15 Nov 2021,3.57%
Fresh pork,Low,12 Nov 2021 - 15 Nov 2021,9.13%
Fresh pork,Medium,12 Nov 2021 - 15 Nov 2021,41.67%
Fresh pork,High,12 Nov 2021 - 15 Nov 2021,45.63%
Fresh vegetables,None,12 Nov 2021 - 15 Nov 2021,0.40%
Fresh vegetables,Low,12 Nov 2021 - 15 Nov 2021,3.16%
Fresh vegetables,Medium,12 Nov 2021 - 15 Nov 2021,33.60%
Fresh vegetables,High,12 Nov 2021 - 15 Nov 2021,62.85%
Frozen chips,None,12 Nov 2021 - 15 Nov 2021,0.80%
Frozen chips,Low,12 Nov 2021 - 15 Nov 2021,4.38%
Frozen chips,Medium,12 Nov 2021 - 15 Nov 2021,34.66%
Frozen chips,High,12 Nov 2021 - 15 Nov 2021,60.16%
Frozen fish,None,12 Nov 2021 - 15 Nov 2021,0.40%
Frozen fish,Low,12 Nov 2021 - 15 Nov 2021,5.62%
Frozen fish,Medium,12 Nov 2021 - 15 Nov 2021,32.93%
Frozen fish,High,12 Nov 2021 - 15 Nov 2021,61.04%
Frozen turkey,None,12 Nov 2021 - 15 Nov 2021,10.24%
Frozen turkey,Low,12 Nov 2021 - 15 Nov 2021,5.37%
Frozen turkey,Medium,12 Nov 2021 - 15 Nov 2021,32.68%
Frozen turkey,High,12 Nov 2021 - 15 Nov 2021,51.71%
Frozen vegetables,None,12 Nov 2021 - 15 Nov 2021,0.40%
Frozen vegetables,Low,12 Nov 2021 - 15 Nov 2021,7.14%
Frozen vegetables,Medium,12 Nov 2021 - 15 Nov 2021,36.11%
Frozen vegetables,High,12 Nov 2021 - 15 Nov 2021,56.35%
Ibuprofen,None,12 Nov 2021 - 15 Nov 2021,6.69%
Ibuprofen,Low,12 Nov 2021 - 15 Nov 2021,9.06%
Ibuprofen,Medium,12 Nov 2021 - 15 Nov 2021,34.65%
Ibuprofen,High,12 Nov 2021 - 15 Nov 2021,49.61%
Milk,None,12 Nov 2021 - 15 Nov 2021,0.39%
Milk,Low,12 Nov 2021 - 15 Nov 2021,7.87%
Milk,Medium,12 Nov 2021 - 15 Nov 2021,43.70%
Milk,High,12 Nov 2021 - 15 Nov 2021,48.03%
Paracetamol,None,12 Nov 2021 - 15 Nov 2021,5.12%
Paracetamol,Low,12 Nov 2021 - 15 Nov 2021,11.81%
Paracetamol,Medium,12 Nov 2021 - 15 Nov 2021,32.28%
Paracetamol,High,12 Nov 2021 - 15 Nov 2021,50.79%
Potatoes,None,12 Nov 2021 - 15 Nov 2021,0.79%
Potatoes,Low,12 Nov 2021 - 15 Nov 2021,6.32%
Potatoes,Medium,12 Nov 2021 - 15 Nov 2021,30.43%
Potatoes,High,12 Nov 2021 - 15 Nov 2021,62.45%
Soap,None,12 Nov 2021 - 15 Nov 2021,0.78%
Soap,Low,12 Nov 2021 - 15 Nov 2021,7.06%
Soap,Medium,12 Nov 2021 - 15 Nov 2021,34.12%
Soap,High,12 Nov 2021 - 15 Nov 2021,58.04%
Sparkling water,None,12 Nov 2021 - 15 Nov 2021,1.97%
Sparkling water,Low,12 Nov 2021 - 15 Nov 2021,13.78%
Sparkling water,Medium,12 Nov 2021 - 15 Nov 2021,40.16%
Sparkling water,High,12 Nov 2021 - 15 Nov 2021,44.09%
Toilet rolls,None,12 Nov 2021 - 15 Nov 2021,0.40%
Toilet rolls,Low,12 Nov 2021 - 15 Nov 2021,7.51%
Toilet rolls,Medium,12 Nov 2021 - 15 Nov 2021,37.94%
Toilet rolls,High,12 Nov 2021 - 15 Nov 2021,54.15%
Toothpaste,None,12 Nov 2021 - 15 Nov 2021,0.39%
Toothpaste,Low,12 Nov 2021 - 15 Nov 2021,3.15%
Toothpaste,Medium,12 Nov 2021 - 15 Nov 2021,33.07%
Toothpaste,High,12 Nov 2021 - 15 Nov 2021,63.39%
Washing up liquid,None,12 Nov 2021 - 15 Nov 2021,3.16%
Washing up liquid,Low,12 Nov 2021 - 15 Nov 2021,11.86%
Washing up liquid,Medium,12 Nov 2021 - 15 Nov 2021,30.43%
Washing up liquid,High,12 Nov 2021 - 15 Nov 2021,54.55%
Total,None,19 Nov 2021 - 22 Nov 2021,1.74%
Total,Low,19 Nov 2021 - 22 Nov 2021,7.45%
Total,Medium,19 Nov 2021 - 22 Nov 2021,37.64%
Total,High,19 Nov 2021 - 22 Nov 2021,53.17%
Beer,None,19 Nov 2021 - 22 Nov 2021,0.38%
Beer,Low,19 Nov 2021 - 22 Nov 2021,1.92%
Beer,Medium,19 Nov 2021 - 22 Nov 2021,23.85%
Beer,High,19 Nov 2021 - 22 Nov 2021,73.85%
Bread,None,19 Nov 2021 - 22 Nov 2021,0.38%
Bread,Low,19 Nov 2021 - 22 Nov 2021,5.73%
Bread,Medium,19 Nov 2021 - 22 Nov 2021,40.08%
Bread,High,19 Nov 2021 - 22 Nov 2021,53.82%
Chocolate selection boxes,None,19 Nov 2021 - 22 Nov 2021,3.94%
Chocolate selection boxes,Low,19 Nov 2021 - 22 Nov 2021,4.33%
Chocolate selection boxes,Medium,19 Nov 2021 - 22 Nov 2021,27.95%
Chocolate selection boxes,High,19 Nov 2021 - 22 Nov 2021,63.78%
Crisps (multipack),None,19 Nov 2021 - 22 Nov 2021,3.83%
Crisps (multipack),Low,19 Nov 2021 - 22 Nov 2021,19.92%
Crisps (multipack),Medium,19 Nov 2021 - 22 Nov 2021,43.68%
Crisps (multipack),High,19 Nov 2021 - 22 Nov 2021,32.57%
Dried pasta,None,19 Nov 2021 - 22 Nov 2021,0.38%
Dried pasta,Low,19 Nov 2021 - 22 Nov 2021,9.23%
Dried pasta,Medium,19 Nov 2021 - 22 Nov 2021,46.92%
Dried pasta,High,19 Nov 2021 - 22 Nov 2021,43.46%
Fresh chicken,None,19 Nov 2021 - 22 Nov 2021,1.15%
Fresh chicken,Low,19 Nov 2021 - 22 Nov 2021,4.20%
Fresh chicken,Medium,19 Nov 2021 - 22 Nov 2021,34.35%
Fresh chicken,High,19 Nov 2021 - 22 Nov 2021,60.31%
Fresh fish,None,19 Nov 2021 - 22 Nov 2021,2.02%
Fresh fish,Low,19 Nov 2021 - 22 Nov 2021,7.26%
Fresh fish,Medium,19 Nov 2021 - 22 Nov 2021,44.35%
Fresh fish,High,19 Nov 2021 - 22 Nov 2021,46.37%
Fresh fruit,None,19 Nov 2021 - 22 Nov 2021,0.76%
Fresh fruit,Low,19 Nov 2021 - 22 Nov 2021,6.11%
Fresh fruit,Medium,19 Nov 2021 - 22 Nov 2021,45.42%
Fresh fruit,High,19 Nov 2021 - 22 Nov 2021,47.71%
Fresh pork,None,19 Nov 2021 - 22 Nov 2021,2.30%
Fresh pork,Low,19 Nov 2021 - 22 Nov 2021,12.26%
Fresh pork,Medium,19 Nov 2021 - 22 Nov 2021,44.83%
Fresh pork,High,19 Nov 2021 - 22 Nov 2021,40.61%
Fresh vegetables,None,19 Nov 2021 - 22 Nov 2021,0.76%
Fresh vegetables,Low,19 Nov 2021 - 22 Nov 2021,3.44%
Fresh vegetables,Medium,19 Nov 2021 - 22 Nov 2021,39.69%
Fresh vegetables,High,19 Nov 2021 - 22 Nov 2021,56.11%
Frozen chips,None,19 Nov 2021 - 22 Nov 2021,1.15%
Frozen chips,Low,19 Nov 2021 - 22 Nov 2021,6.15%
Frozen chips,Medium,19 Nov 2021 - 22 Nov 2021,33.08%
Frozen chips,High,19 Nov 2021 - 22 Nov 2021,59.62%
Frozen fish,None,19 Nov 2021 - 22 Nov 2021,0.39%
Frozen fish,Low,19 Nov 2021 - 22 Nov 2021,4.28%
Frozen fish,Medium,19 Nov 2021 - 22 Nov 2021,36.19%
Frozen fish,High,19 Nov 2021 - 22 Nov 2021,59.14%
Frozen turkey,None,19 Nov 2021 - 22 Nov 2021,10.33%
Frozen turkey,Low,19 Nov 2021 - 22 Nov 2021,3.29%
Frozen turkey,Medium,19 Nov 2021 - 22 Nov 2021,32.86%
Frozen turkey,High,19 Nov 2021 - 22 Nov 2021,53.52%
Frozen vegetables,None,19 Nov 2021 - 22 Nov 2021,0.77%
Frozen vegetables,Low,19 Nov 2021 - 22 Nov 2021,6.15%
Frozen vegetables,Medium,19 Nov 2021 - 22 Nov 2021,34.62%
Frozen vegetables,High,19 Nov 2021 - 22 Nov 2021,58.46%
Ibuprofen,None,19 Nov 2021 - 22 Nov 2021,3.85%
Ibuprofen,Low,19 Nov 2021 - 22 Nov 2021,11.92%
Ibuprofen,Medium,19 Nov 2021 - 22 Nov 2021,38.46%
Ibuprofen,High,19 Nov 2021 - 22 Nov 2021,45.77%
Milk,None,19 Nov 2021 - 22 Nov 2021,0.38%
Milk,Low,19 Nov 2021 - 22 Nov 2021,7.25%
Milk,Medium,19 Nov 2021 - 22 Nov 2021,48.09%
Milk,High,19 Nov 2021 - 22 Nov 2021,44.27%
Paracetamol,None,19 Nov 2021 - 22 Nov 2021,3.45%
Paracetamol,Low,19 Nov 2021 - 22 Nov 2021,14.56%
Paracetamol,Medium,19 Nov 2021 - 22 Nov 2021,32.95%
Paracetamol,High,19 Nov 2021 - 22 Nov 2021,49.04%
Potatoes,None,19 Nov 2021 - 22 Nov 2021,0.38%
Potatoes,Low,19 Nov 2021 - 22 Nov 2021,5.75%
Potatoes,Medium,19 Nov 2021 - 22 Nov 2021,27.97%
Potatoes,High,19 Nov 2021 - 22 Nov 2021,65.90%
Soap,None,19 Nov 2021 - 22 Nov 2021,0.76%
Soap,Low,19 Nov 2021 - 22 Nov 2021,7.63%
Soap,Medium,19 Nov 2021 - 22 Nov 2021,36.26%
Soap,High,19 Nov 2021 - 22 Nov 2021,55.34%
Sparkling water,None,19 Nov 2021 - 22 Nov 2021,1.53%
Sparkling water,Low,19 Nov 2021 - 22 Nov 2021,13.79%
Sparkling water,Medium,19 Nov 2021 - 22 Nov 2021,40.23%
Sparkling water,High,19 Nov 2021 - 22 Nov 2021,44.44%
Toilet rolls,None,19 Nov 2021 - 22 Nov 2021,0.38%
Toilet rolls,Low,19 Nov 2021 - 22 Nov 2021,6.13%
Toilet rolls,Medium,19 Nov 2021 - 22 Nov 2021,38.31%
Toilet rolls,High,19 Nov 2021 - 22 Nov 2021,55.17%
Toothpaste,None,19 Nov 2021 - 22 Nov 2021,0.38%
Toothpaste,Low,19 Nov 2021 - 22 Nov 2021,3.07%
Toothpaste,Medium,19 Nov 2021 - 22 Nov 2021,38.70%
Toothpaste,High,19 Nov 2021 - 22 Nov 2021,57.85%
Washing up liquid,None,19 Nov 2021 - 22 Nov 2021,1.92%
Washing up liquid,Low,19 Nov 2021 - 22 Nov 2021,6.13%
Washing up liquid,Medium,19 Nov 2021 - 22 Nov 2021,36.02%
Washing up liquid,High,19 Nov 2021 - 22 Nov 2021,55.94%
Total,None,26 Nov 2021 - 29 Nov 2021,1.80%
Total,Low,26 Nov 2021 - 29 Nov 2021,6.89%
Total,Medium,26 Nov 2021 - 29 Nov 2021,37.47%
Total,High,26 Nov 2021 - 29 Nov 2021,53.83%
Beer,None,26 Nov 2021 - 29 Nov 2021,0.39%
Beer,Low,26 Nov 2021 - 29 Nov 2021,3.09%
Beer,Medium,26 Nov 2021 - 29 Nov 2021,26.64%
Beer,High,26 Nov 2021 - 29 Nov 2021,69.88%
Bread,None,26 Nov 2021 - 29 Nov 2021,0.38%
Bread,Low,26 Nov 2021 - 29 Nov 2021,4.58%
Bread,Medium,26 Nov 2021 - 29 Nov 2021,42.37%
Bread,High,26 Nov 2021 - 29 Nov 2021,52.67%
Chocolate selection boxes,None,26 Nov 2021 - 29 Nov 2021,2.76%
Chocolate selection boxes,Low,26 Nov 2021 - 29 Nov 2021,6.30%
Chocolate selection boxes,Medium,26 Nov 2021 - 29 Nov 2021,31.10%
Chocolate selection boxes,High,26 Nov 2021 - 29 Nov 2021,59.84%
Crisps (multipack),None,26 Nov 2021 - 29 Nov 2021,4.21%
Crisps (multipack),Low,26 Nov 2021 - 29 Nov 2021,19.92%
Crisps (multipack),Medium,26 Nov 2021 - 29 Nov 2021,38.31%
